id,question,answer,language
1,What is diabetes?,"Diabetes is a chronic condition that affects how your body processes blood sugar (glucose). Type 1 diabetes occurs when your immune system attacks insulin-producing cells in your pancreas. Type 2 diabetes occurs when your body becomes resistant to insulin or doesn't produce enough insulin. Common symptoms include increased thirst, frequent urination, unexplained weight loss, and fatigue.",en
2,What are the symptoms of high blood pressure?,"High blood pressure (hypertension) often has no symptoms, which is why it's called the 'silent killer'. Some people may experience headaches, shortness of breath, or nosebleeds, but these aren't specific to high blood pressure. Regular blood pressure checks are essential for early detection.",en
3,How can I prevent heart disease?,"You can reduce your risk of heart disease by: maintaining a healthy diet rich in fruits, vegetables, and whole grains; exercising regularly (at least 150 minutes per week); avoiding smoking and excessive alcohol; managing stress; controlling blood pressure, cholesterol, and diabetes; and maintaining a healthy weight.",en
4,What is malaria and how is it transmitted?,"Malaria is a life-threatening disease caused by parasites transmitted through the bites of infected female Anopheles mosquitoes. Symptoms include fever, headache, chills, and vomiting. Prevention includes using mosquito nets, insect repellent, and antimalarial medications in endemic areas.",en
5,What are the common symptoms of COVID-19?,"Common COVID-19 symptoms include fever, dry cough, tiredness, loss of taste or smell, sore throat, headache, body aches, and difficulty breathing. Some people may be asymptomatic. If you experience severe symptoms like difficulty breathing, chest pain, or confusion, seek medical attention immediately.",en
6,How can I boost my immune system naturally?,"Boost your immune system by: eating a balanced diet rich in vitamins C and D, zinc, and antioxidants; getting adequate sleep (7-9 hours); exercising regularly; managing stress through meditation or yoga; staying hydrated; avoiding smoking and excessive alcohol; and maintaining good hygiene.",en
7,What is tuberculosis (TB)?,"Tuberculosis is a bacterial infection caused by Mycobacterium tuberculosis that primarily affects the lungs. Symptoms include persistent cough (lasting 3+ weeks), chest pain, coughing up blood, fatigue, weight loss, fever, and night sweats. TB is spread through airborne droplets and requires prolonged treatment with antibiotics.",en
8,What are the warning signs of a stroke?,"Remember FAST: Face drooping on one side, Arm weakness or numbness, Speech difficulty or slurred speech, Time to call emergency services immediately. Other symptoms include sudden confusion, trouble seeing, severe headache, and loss of balance. Quick medical attention is critical.",en
9,How do I know if I have depression?,"Signs of depression include persistent sadness, loss of interest in activities you once enjoyed, changes in appetite or weight, sleep disturbances, fatigue, feelings of worthlessness or guilt, difficulty concentrating, and thoughts of death or suicide. If you experience these symptoms for more than two weeks, consult a mental health professional.",en
10,What is asthma and how is it managed?,"Asthma is a chronic respiratory condition where airways become inflamed and narrowed, causing wheezing, breathlessness, chest tightness, and coughing. Management includes: avoiding triggers (allergens, smoke, cold air), using prescribed inhalers (preventive and rescue medications), monitoring symptoms, and following an asthma action plan developed with your doctor.",en
11,What causes kidney stones?,"Kidney stones form when minerals and salts crystallize in your kidneys. Common causes include: dehydration, high-protein/sodium/sugar diets, obesity, digestive diseases, and family history. Prevention includes drinking plenty of water, reducing sodium and animal protein intake, and avoiding foods high in oxalates if recommended by your doctor.",en
12,How can I lower my cholesterol naturally?,"Lower cholesterol by: eating foods rich in omega-3 fatty acids (fish, walnuts), increasing soluble fiber (oats, beans, apples), adding whey protein, exercising regularly, losing excess weight, quitting smoking, and limiting trans fats and saturated fats. In some cases, medication may be necessary.",en
13,What is dengue fever?,"Dengue is a mosquito-borne viral infection common in tropical and subtropical climates. Symptoms include high fever, severe headache, pain behind the eyes, joint and muscle pain, rash, and mild bleeding. Severe dengue can cause bleeding, organ damage, and death. Prevention focuses on eliminating mosquito breeding sites and using protective measures.",en
14,What are the symptoms of anemia?,"Anemia occurs when you don't have enough healthy red blood cells. Symptoms include fatigue, weakness, pale skin, shortness of breath, dizziness, cold hands and feet, irregular heartbeat, and headaches. Common causes include iron deficiency, vitamin B12 deficiency, and chronic diseases.",en
15,How can I manage stress effectively?,"Manage stress through: regular physical activity, practicing relaxation techniques (deep breathing, meditation, yoga), maintaining social connections, getting adequate sleep, eating a healthy diet, limiting caffeine and alcohol, managing time effectively, and seeking professional help if needed.",en
16,What is hepatitis and how many types are there?,"Hepatitis is inflammation of the liver, usually caused by viral infection. Main types include: Hepatitis A (spread through contaminated food/water), Hepatitis B (spread through body fluids), Hepatitis C (spread through blood contact), Hepatitis D (only occurs with B), and Hepatitis E (spread through contaminated water). Vaccines are available for A and B.",en
17,What are the early signs of cancer?,"Warning signs include: unexplained weight loss, persistent fever, fatigue, pain that doesn't go away, skin changes, changes in bowel or bladder habits, persistent cough or hoarseness, unusual bleeding or discharge, lumps or thickening, and difficulty swallowing. Early detection through regular screenings improves treatment outcomes.",en
18,How much sleep do adults need?,"Most adults need 7-9 hours of quality sleep per night. Good sleep hygiene includes: maintaining a consistent sleep schedule, creating a comfortable sleep environment, avoiding screens before bedtime, limiting caffeine and alcohol, exercising regularly (but not close to bedtime), and managing stress.",en
19,What is arthritis?,"Arthritis is inflammation of joints causing pain, stiffness, and swelling. Common types include osteoarthritis (wear-and-tear) and rheumatoid arthritis (autoimmune). Management includes: medications, physical therapy, exercise, weight management, hot/cold therapy, and in severe cases, surgery.",en
20,How can I prevent foodborne illnesses?,"Prevent food poisoning by: washing hands and surfaces often, separating raw and cooked foods, cooking foods to proper temperatures (use a thermometer), refrigerating perishables promptly, avoiding unpasteurized products, washing fruits and vegetables, and being cautious with high-risk foods (raw eggs, undercooked meat).",en
21,क्या है मधुमेह?,"मधुमेह एक दीर्घकालिक बीमारी है जो आपके शरीर के रक्त शर्करा (ग्लूकोज) को संसाधित करने के तरीके को प्रभावित करती है। टाइप 1 मधुमेह तब होता है जब आपकी प्रतिरक्षा प्रणाली अग्न्याशय में इंसुलिन उत्पादक कोशिकाओं पर हमला करती है। टाइप 2 मधुमेह तब होता है जब आपका शरीर इंसुलिन के प्रति प्रतिरोधी हो जाता है।",hi
22,उच्च रक्तचाप के लक्षण क्या हैं?,"उच्च रक्तचाप (हाइपरटेंशन) में अक्सर कोई लक्षण नहीं होते, यही कारण है कि इसे 'साइलेंट किलर' कहा जाता है। कुछ लोगों को सिरदर्द, सांस की तकलीफ या नाक से खून आना हो सकता है। नियमित रक्तचाप जांच आवश्यक है।",hi
23,¿Qué es la diabetes?,"La diabetes es una condición crónica que afecta cómo su cuerpo procesa el azúcar en sangre (glucosa). La diabetes tipo 1 ocurre cuando su sistema inmunológico ataca las células productoras de insulina en su páncreas. La diabetes tipo 2 ocurre cuando su cuerpo se vuelve resistente a la insulina.",es
24,Comment prévenir les maladies cardiaques?,"Vous pouvez réduire votre risque de maladie cardiaque en maintenant une alimentation saine riche en fruits, légumes et grains entiers, en faisant de l'exercice régulièrement, en évitant de fumer et l'alcool excessif, en gérant le stress et en contrôlant la tension artérielle et le cholestérol.",fr
25,Was ist Bluthochdruck?,"Bluthochdruck (Hypertonie) hat oft keine Symptome, weshalb er als 'stiller Killer' bezeichnet wird. Einige Menschen können Kopfschmerzen, Kurzatmigkeit oder Nasenbluten erleben. Regelmäßige Blutdruckkontrollen sind für die Früherkennung unerlässlich.",de
